”NŒŽ“ú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
2015/04/01,11.99,13.02,13.37,29277500
2015/04/02,11.27,11.58,11.30,28989500
2015/04/03,12.48,13.75,14.46,27785500
2015/04/04,11.23,11.57,11.22,32439500
2015/04/05,10.78,11.14,10.56,34146000
2015/04/06,12.40,13.68,14.98,35339500
2015/04/07,13.55,15.38,16.13,33610500
2015/04/08,13.27,14.62,14.48,36418000
2015/04/09,12.92,13.93,14.00,35754500
2015/04/10,13.49,15.15,16.06,36211500
2015/04/11,10.73,10.63,10.28,34855000
2015/04/12,9.99,10.02,9.37,31289000
2015/04/13,12.38,13.75,14.58,28860000
2015/04/14,12.14,13.35,13.85,33738000
2015/04/15,12.39,13.66,14.07,32998500
2015/04/16,11.80,12.55,12.32,30036000
2015/04/17,11.65,12.58,12.20,29435500
2015/04/18,10.04,9.77,9.41,36462000
2015/04/19,10.17,9.81,9.74,33284500
2015/04/20,12.48,13.93,14.60,29267500
2015/04/21,12.73,13.74,13.97,37189500
2015/04/22,12.18,12.94,13.12,39825000
2015/04/23,11.15,11.65,11.62,38161500
2015/04/24,11.31,11.80,12.17,34162000
2015/04/25,10.79,10.81,10.64,37533500
2015/04/26,9.63,9.68,8.96,29693500
2015/04/27,10.64,11.74,11.79,33879000
2015/04/28,11.99,12.85,13.71,39446500
2015/04/29,9.97,10.71,10.23,39085500
2015/04/30,10.71,11.86,12.00,42250000
2015/05/01,10.38,11.30,11.31,44729500
2015/05/02,9.19,9.76,9.74,45339000
2015/05/03,8.87,8.98,8.07,44412000
2015/05/04,10.33,11.10,11.06,43320500
2015/05/05,8.93,9.11,8.08,39800000
2015/05/06,9.41,9.90,9.92,37963500
2015/05/07,10.59,11.71,11.91,34336500
2015/05/08,10.34,11.40,12.03,34193000
2015/05/09,9.80,10.14,10.44,42317000
2015/05/10,8.70,8.80,8.37,37757500
2015/05/11,10.37,11.67,12.53,31809500
2015/05/12,11.73,12.91,13.90,35712500
2015/05/13,11.47,12.37,12.75,41200500
2015/05/14,11.47,12.42,13.12,40671000
2015/05/15,11.75,12.92,13.98,41240500
2015/05/16,11.33,12.03,12.21,37503000
2015/05/17,9.93,10.11,9.61,34408000
2015/05/18,12.11,13.40,14.31,42955500
2015/05/19,12.66,13.95,15.80,38368000
2015/05/20,12.06,13.13,13.62,42767500
2015/05/21,11.81,12.69,13.01,40527500
2015/05/22,11.67,12.79,13.19,39574500
2015/05/23,11.26,12.00,12.33,36788000
2015/05/24,10.62,10.99,10.78,36944500
2015/05/25,12.14,13.23,13.90,38965000
2015/05/26,12.10,13.37,13.77,39210500
2015/05/27,12.42,13.95,14.95,40742500
2015/05/28,12.44,13.90,14.54,39648000
2015/05/29,12.51,13.95,15.52,38983500
2015/05/30,11.36,12.02,12.23,41171000
2015/05/31,11.13,11.26,10.96,41368500
2015/06/01,12.69,14.21,15.68,43602500
2015/06/02,12.78,14.44,15.82,44086500
2015/06/03,13.55,16.06,18.28,43429000
2015/06/04,12.13,13.38,14.85,44836000
2015/06/05,12.78,14.48,15.98,41563000
2015/06/06,10.54,10.91,10.56,39464500
2015/06/07,10.64,10.97,10.61,37744000
2015/06/08,13.38,15.81,18.33,38672000
2015/06/09,13.32,15.48,18.22,38914000
2015/06/10,12.31,14.02,16.72,43197000
2015/06/11,12.02,13.40,14.45,38461000
2015/06/12,11.94,13.22,14.08,42581000
2015/06/13,11.36,12.15,12.84,42226000
2015/06/14,10.70,11.19,11.27,42691000
2015/06/15,13.09,15.22,18.04,40939500
2015/06/16,12.04,13.35,14.04,38266500
2015/06/17,12.15,13.44,14.91,37537500
2015/06/18,11.84,13.07,13.87,42591500
2015/06/19,11.80,13.08,13.94,41123000
2015/06/20,10.58,11.17,11.49,43962500
2015/06/21,10.18,10.72,10.72,41370500
2015/06/22,12.03,13.59,14.54,40458000
2015/06/23,11.77,13.13,13.86,42792500
2015/06/24,11.61,12.93,13.89,41762500
2015/06/25,11.87,13.27,14.47,39779500
2015/06/26,12.00,13.31,14.44,41577000
2015/06/27,10.89,11.22,10.96,43524500
2015/06/28,10.95,11.35,11.32,39225000
2015/06/29,11.71,13.26,14.01,36118500
2015/06/30,11.20,12.70,13.87,37855000
2015/07/01,11.03,12.56,13.74,39222000
2015/07/02,11.34,12.99,13.84,42852500
2015/07/03,11.34,12.91,13.73,41851000
2015/07/04,9.07,9.63,10.30,49145000
2015/07/05,8.82,9.58,9.88,50116500
2015/07/06,10.84,12.83,13.84,39930500
2015/07/07,10.83,12.42,13.57,41712500
2015/07/08,10.78,12.52,13.32,46065500
2015/07/09,10.91,12.67,13.73,46048000
2015/07/10,10.92,12.78,13.75,47948000
2015/07/11,9.65,10.40,10.99,49042000
2015/07/12,8.90,9.61,9.82,51241000
2015/07/13,11.82,14.19,17.47,41946500
2015/07/14,12.20,14.69,18.47,44562000
2015/07/15,12.66,14.76,17.35,47136500
2015/07/16,12.22,14.42,16.63,45688500
2015/07/17,14.53,18.83,26.38,43342000
2015/07/18,10.11,11.32,11.98,44424000
2015/07/19,9.81,10.62,10.58,48950500
2015/07/20,10.80,12.26,12.95,41550500
2015/07/21,12.17,14.55,16.72,47011000
2015/07/22,12.52,15.06,17.39,47563000
2015/07/23,11.87,14.33,16.92,54231000
2015/07/24,11.43,13.53,16.25,52477000
2015/07/25,9.88,11.21,12.04,53169500
2015/07/26,9.36,10.28,10.40,55743000
2015/07/27,12.13,14.63,17.10,51497500
2015/07/28,12.24,14.59,17.15,49426500
2015/07/29,11.69,13.57,15.44,50292500
2015/07/30,12.54,14.99,19.32,53621000
2015/07/31,13.39,16.26,20.94,53880500
2015/08/01,10.91,11.90,12.32,53960000
2015/08/02,10.78,11.83,12.44,45598500
2015/08/03,13.72,17.07,20.41,53816500
2015/08/04,14.59,18.32,21.38,51732000
2015/08/05,15.40,19.52,22.29,47874500
2015/08/06,15.10,18.95,19.23,46089000
2015/08/07,16.00,20.46,29.18,51515000
2015/08/08,11.46,12.60,13.62,49334500
2015/08/09,10.73,11.41,11.21,40271000
2015/08/10,13.54,16.27,21.27,53322500
2015/08/11,12.05,13.85,15.80,49815500
2015/08/12,11.22,12.47,13.21,42045000
2015/08/13,10.82,11.75,12.21,38892500
2015/08/14,10.74,11.65,11.96,40088500
2015/08/15,10.03,10.76,10.67,43695000
2015/08/16,10.10,10.72,10.55,44319500
2015/08/17,11.74,13.79,16.46,45889500
2015/08/18,12.06,14.11,16.41,51004000
2015/08/19,11.29,12.83,14.20,51240500
2015/08/20,11.00,12.51,14.00,46328000
2015/08/21,11.13,12.77,13.52,43548500
2015/08/22,10.02,10.71,10.80,49941500
2015/08/23,9.63,10.34,10.10,49895500
2015/08/24,11.06,12.64,14.19,45301000
2015/08/25,10.54,12.09,13.06,41408000
2015/08/26,10.06,11.09,11.41,43236500
2015/08/27,10.43,11.65,12.45,43856500
2015/08/28,8.85,10.30,10.50,39917000
2015/08/29,8.00,8.91,9.24,38690500
2015/08/30,7.65,8.61,8.99,38468500
2015/08/31,9.15,10.89,12.38,40227500
2015/09/01,9.03,10.57,10.89,41289500
2015/09/02,8.72,10.08,11.09,40251000
2015/09/03,8.92,10.77,12.06,39976500
2015/09/04,8.13,9.72,11.53,42183000
2015/09/05,6.82,7.13,7.48,43325500
2015/09/06,6.17,6.84,6.80,41858000
2015/09/07,8.55,10.51,11.83,40020500
2015/09/08,9.27,10.82,11.86,36590000
2015/09/09,9.13,10.73,11.89,38882500
2015/09/10,8.62,9.88,11.06,42769000
2015/09/11,8.49,9.90,11.52,44980000
2015/09/12,6.51,7.31,8.32,41210500
2015/09/13,6.35,7.33,7.14,38804500
2015/09/14,8.18,10.01,11.48,39336500
2015/09/15,8.30,9.86,11.40,42002000
2015/09/16,8.85,10.39,11.72,35413000
2015/09/17,9.28,10.22,11.29,34862500
2015/09/18,8.35,9.37,10.46,42846500
2015/09/19,6.29,6.59,7.30,38101500
2015/09/20,7.06,7.56,7.85,28761000
2015/09/21,7.27,8.03,8.57,29787500
2015/09/22,7.10,8.09,8.71,29620000
2015/09/23,7.61,8.51,8.69,33296000
2015/09/24,9.45,10.78,11.16,35793000
2015/09/25,9.81,10.95,11.78,38933000
2015/09/26,8.09,8.42,8.65,51362000
2015/09/27,7.75,8.17,8.13,49160500
2015/09/28,9.53,10.98,11.63,44085500
2015/09/29,9.77,10.93,11.45,42945000
2015/09/30,9.63,10.50,10.82,44356500
2015/10/01,10.10,11.26,11.89,44743500
2015/10/02,9.52,10.43,10.94,44061500
2015/10/03,8.39,9.09,9.30,47586000
2015/10/04,8.02,8.29,7.98,46061000
2015/10/05,9.26,10.32,10.49,46068500
2015/10/06,9.40,10.25,10.46,47123500
2015/10/07,9.11,10.00,10.21,45898500
2015/10/08,9.31,9.96,10.06,44949500
2015/10/09,9.42,10.30,10.61,42268500
2015/10/10,8.88,9.51,9.71,42751500
2015/10/11,8.49,8.75,8.45,32835000
2015/10/12,8.76,9.39,9.39,32454500
2015/10/13,9.23,10.02,10.21,39388000
2015/10/14,9.50,10.48,10.30,40288000
2015/10/15,9.59,10.51,10.69,39255500
2015/10/16,9.69,10.51,10.51,35976500
2015/10/17,8.83,9.23,8.91,39750000
2015/10/18,8.33,8.53,8.56,40654500
2015/10/19,9.48,10.30,10.41,40996000
2015/10/20,9.66,10.40,10.52,39118000
2015/10/21,9.68,10.34,10.20,43486000
2015/10/22,10.12,10.86,10.85,43160000
2015/10/23,10.30,11.11,11.54,37617500
2015/10/24,9.61,9.91,9.71,36387000
2015/10/25,8.93,8.96,8.59,40564000
2015/10/26,10.29,11.21,10.92,37984500
2015/10/27,11.67,13.39,15.91,42748500
2015/10/28,10.77,11.91,13.27,39684500
2015/10/29,10.08,11.00,10.89,40433500
2015/10/30,10.13,11.08,11.22,35115000
2015/10/31,8.88,9.07,8.97,37677000
2015/11/01,9.05,9.37,9.20,30126000
2015/11/02,9.95,10.90,10.84,36226500
2015/11/03,8.92,9.19,9.00,41543000
2015/11/04,9.59,10.42,10.50,42923000
2015/11/05,9.85,10.75,10.78,39698000
2015/11/06,10.01,10.88,10.84,38773000
2015/11/07,9.30,9.68,9.40,37590000
2015/11/08,8.84,9.17,8.78,36620000
2015/11/09,9.96,10.96,11.13,39740000
2015/11/10,9.60,10.43,10.56,47849500
2015/11/11,9.86,10.83,11.22,39901000
2015/11/12,10.12,11.13,12.09,38969500
2015/11/13,10.45,11.36,12.24,36483000
2015/11/14,9.27,9.77,9.87,41072500
2015/11/15,9.02,9.22,8.79,36637000
2015/11/16,10.27,11.23,12.17,33052000
2015/11/17,10.53,11.77,12.94,37491500
2015/11/18,10.90,12.34,13.62,37427500
2015/11/19,9.91,10.74,11.09,37391500
2015/11/20,10.25,11.24,11.27,37205000
2015/11/21,8.94,9.32,9.17,37216500
2015/11/22,8.66,8.93,8.40,37535500
2015/11/23,8.89,9.44,9.20,36365500
2015/11/24,9.75,10.55,10.61,36869000
2015/11/25,10.49,11.74,12.92,33487000
2015/11/26,10.22,11.27,11.81,36207500
2015/11/27,9.91,10.70,10.53,36480500
2015/11/28,8.96,9.18,9.05,40186500
2015/11/29,8.70,8.83,8.61,45038000
2015/11/30,9.89,10.79,10.68,39012500
2015/12/01,9.31,9.88,10.01,41504000
2015/12/02,9.32,9.90,10.16,43233000
2015/12/03,9.60,10.36,10.18,41246000
2015/12/04,9.67,10.36,10.21,43493500
2015/12/05,8.53,8.85,8.53,38194000
2015/12/06,8.28,8.43,7.99,39279000
2015/12/07,9.38,10.22,10.16,40452000
2015/12/08,9.52,10.30,10.10,40449500
2015/12/09,9.21,9.78,9.54,40149500
2015/12/10,9.60,10.45,10.62,40292500
2015/12/11,9.64,10.66,11.12,39215000
2015/12/12,8.44,8.67,8.60,42059500
2015/12/13,7.87,8.23,7.79,45021500
2015/12/14,8.95,9.54,9.48,40275000
2015/12/15,9.53,10.49,10.71,39185000
2015/12/16,9.15,9.83,10.45,40815500
2015/12/17,9.40,10.14,9.97,46931000
2015/12/18,9.67,10.47,10.62,40399500
2015/12/19,8.16,8.27,7.84,38104000
2015/12/20,8.15,8.27,7.86,34065000
2015/12/21,9.22,10.10,9.84,39349000
2015/12/22,8.99,9.64,9.51,39362000
2015/12/23,8.74,9.15,8.97,34194500
2015/12/24,9.23,10.09,9.76,38642500
2015/12/25,9.23,10.00,9.12,36609000
2015/12/26,8.90,9.15,8.75,34199500
2015/12/27,9.04,9.24,8.97,27766000
2015/12/28,9.25,9.82,9.04,37075000
2015/12/29,8.67,9.01,8.70,33197000
2015/12/30,8.26,8.52,7.94,32190500
2015/12/31,7.93,8.11,7.63,34518500
2016/01/01,7.06,6.89,6.16,39269000
2016/01/02,7.53,7.66,7.42,39640500
2016/01/03,7.74,8.04,7.72,38698500
2016/01/04,8.70,9.33,8.65,34348500
2016/01/05,8.93,9.84,10.59,40078000
2016/01/06,8.63,9.29,9.07,43522500
2016/01/07,8.84,9.47,9.05,42137500
2016/01/08,9.47,10.29,8.93,41755000
2016/01/09,8.13,8.50,8.34,37900500
2016/01/10,8.32,8.37,7.69,35000000
2016/01/11,8.74,9.00,8.60,34079500
2016/01/12,9.22,10.25,9.91,41115500
2016/01/13,9.31,10.31,10.05,45462000
2016/01/14,9.03,9.86,9.04,48014500
2016/01/15,9.38,10.30,9.44,45999500
2016/01/16,8.25,8.47,7.92,40006500
2016/01/17,7.49,7.55,7.14,34707000
2016/01/18,9.55,11.14,10.88,51177500
2016/01/19,9.38,10.63,10.81,54481500
2016/01/20,9.55,10.86,10.96,60536500
2016/01/21,9.62,10.82,11.02,60539000
2016/01/22,9.47,10.52,10.65,57474000
2016/01/23,9.61,10.48,10.45,33426000
2016/01/24,8.58,9.07,8.44,36816000
2016/01/25,15.64,20.61,14.72,49154500
2016/01/26,10.47,12.23,13.06,51065000
2016/01/27,8.92,9.69,8.96,46020500
2016/01/28,8.91,9.92,9.77,47765000
2016/01/29,9.78,11.47,11.96,49752500
2016/01/30,7.86,8.41,8.20,45760500
2016/01/31,6.90,7.07,6.47,42831500
2016/02/01,8.31,9.42,9.36,51073000
2016/02/02,8.29,9.21,8.61,48189500
2016/02/03,8.47,9.44,9.22,49135500
2016/02/04,8.00,8.95,7.86,49804000
2016/02/05,7.39,8.12,7.29,47600500
2016/02/06,7.02,7.21,6.72,43210500
2016/02/07,7.20,7.40,6.39,33528000
2016/02/08,8.50,9.75,10.27,49109500
2016/02/09,8.28,9.21,7.81,45647000
2016/02/10,7.79,8.50,7.02,46258500
2016/02/11,7.16,7.52,6.73,33484500
2016/02/12,7.71,8.44,7.96,44812000
2016/02/13,6.90,7.18,6.74,37518000
2016/02/14,6.60,6.74,6.44,34201000
2016/02/15,8.61,9.90,9.29,46351500
2016/02/16,8.54,9.74,8.91,49708000
2016/02/17,7.68,8.34,7.10,48697500
2016/02/18,7.78,8.57,6.96,51212500
2016/02/19,7.73,8.48,7.63,53182000
2016/02/20,7.06,7.44,6.85,46056500
2016/02/21,6.46,6.51,5.77,40769500
2016/02/22,8.13,9.18,8.74,52243500
2016/02/23,7.82,8.69,9.02,51521000
2016/02/24,7.63,8.35,7.16,48494000
2016/02/25,8.25,9.16,7.97,53322000
2016/02/26,8.28,9.05,8.12,49344500
2016/02/27,6.97,7.10,6.74,42049500
2016/02/28,6.79,6.95,6.54,40269500
2016/02/29,8.41,9.52,9.40,48911500
2016/03/01,8.42,9.38,8.31,50304000
2016/03/02,8.20,9.00,7.65,46030500
2016/03/03,7.63,8.03,7.21,47078000
2016/03/04,7.30,7.67,6.62,43099500
2016/03/05,6.34,6.23,5.47,37412500
2016/03/06,6.18,6.38,6.11,35501500
2016/03/07,6.95,7.33,7.06,47374500
2016/03/08,6.92,7.20,7.02,46575000
2016/03/09,7.96,8.98,10.10,48467500
2016/03/10,7.99,8.84,9.14,50559500
2016/03/11,8.02,8.69,7.62,53632500
2016/03/12,6.88,6.78,6.21,50239500
2016/03/13,6.58,6.62,6.21,50609500
2016/03/14,8.03,8.77,8.57,54614500
2016/03/15,7.32,7.56,7.02,50033500
2016/03/16,7.73,8.23,8.19,48864500
2016/03/17,7.09,7.32,6.90,52166000
2016/03/18,7.38,7.83,8.00,46574000
2016/03/19,6.82,7.18,6.97,51641500
2016/03/20,6.14,6.08,5.18,46659000
2016/03/21,6.91,7.00,6.16,49122500
2016/03/22,7.40,7.66,7.33,52300000
2016/03/23,7.08,7.33,7.11,46678000
2016/03/24,7.54,7.99,7.70,52618000
2016/03/25,7.42,7.68,7.27,54034500
2016/03/26,6.75,6.64,6.11,50999500
2016/03/27,6.62,6.71,5.88,50650500
2016/03/28,7.69,8.07,7.82,53222500
2016/03/29,7.00,7.17,6.95,51060500
2016/03/30,6.72,6.87,6.63,48762000
2016/03/31,6.76,6.99,6.95,48906500
